owner_user_id,owner_username,owner_user_followers,related_user_id,related_user_name,related_user_type,relationship_type
kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,2,21caaa4nbbcbnusxw2ni2m3ty,王立葳,user,follower
kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,2,7p3f1f8xqn8e0y5fnwer9pu4w,The Offense,user,follower
